exchange	pair	timestamp	lastClose	probe_id	probe_time,exchange,pair,timestamp,lastClose,probe_id,probe_time
,okx,AVAX/USDT,1742242002510,18.902,,1742242002.5563962
,kucoin,BONK/USDT,1742242002017,1.1251e-05,,1742242002.5563962
,kucoin,BCH/USDT,1742242002017,338.64,,1742242002.5563962
,kucoin,DOGE/USDT,1742242002017,0.17454,,1742242002.5563962
,kucoin,BTC/USDT,1742242002017,84233.4,,1742242002.5563962
,kucoin,PEPE/USDT,1742242002017,7.413e-06,,1742242002.5563962
,kucoin,ETH/USDT,1742242002017,1937.17,,1742242002.5563962
,kucoin,WIF/USDT,1742242002017,0.5068,,1742242002.5563962
,kucoin,AVAX/USDT,1742242002017,18.898,,1742242002.5563962
,kucoin,SOL/USDT,1742242002017,129.491,,1742242002.5563962
,kucoin,XRP/USDT,1742242002017,2.35611,,1742242002.5563962
,kucoin,LINK/USDT,1742242002017,14.1271,,1742242002.5563962
,kucoin,NEAR/USDT,1742242002017,2.6655,,1742242002.5563962
,bitrue,BCH/USDT,,339.37,,1742242002.5563962
,bitrue,BONK/USDT,,1.115e-05,,1742242002.5563962
,bitrue,XRP/USDT,,2.3568,,1742242002.5563962
,bitrue,SOL/USDT,,129.47,,1742242002.5563962
,bitrue,DOGE/USDT,,0.17461,,1742242002.5563962
,bitrue,LINK/USDT,,14.136,,1742242002.5563962
,bitrue,ETH/USDT,,1937.16,,1742242002.5563962
,bitrue,PEPE/USDT,,7.42e-06,,1742242002.5563962
,bitrue,NEAR/USDT,,2.667,,1742242002.5563962
,bitrue,BTC/USDT,,84257.83,,1742242002.5563962
,bitrue,WIF/USDT,,0.507,,1742242002.5563962
,bitrue,AVAX/USDT,,18.91,,1742242002.5563962
,gateio,SOL/USDT,,129.57,,1742242002.5563962
,gateio,LINK/USDT,,14.134,,1742242002.5563962
,gateio,DOGE/USDT,,0.17453,,1742242002.5563962
,gateio,ETH/USDT,,1937.55,,1742242002.5563962
,gateio,BTC/USDT,,84254.9,,1742242002.5563962
,gateio,BONK/USDT,,1.124e-05,,1742242002.5563962
,gateio,BCH/USDT,,339.11,,1742242002.5563962
,gateio,NEAR/USDT,,2.666,,1742242002.5563962
,gateio,PEPE/USDT,,7.416e-06,,1742242002.5563962
,gateio,WIF/USDT,,0.5065,,1742242002.5563962
,gateio,AVAX/USDT,,18.9,,1742242002.5563962
,gateio,XRP/USDT,,2.35657,,1742242002.5563962
,htx,DOGE/USDT,,0.174596,,1742242002.5563962
,htx,LINK/USDT,,14.1387,,1742242002.5563962
,htx,NEAR/USDT,,2.6666,,1742242002.5563962
,htx,ETH/USDT,,1937.0,,1742242002.5563962
,htx,BTC/USDT,,84248.59,,1742242002.5563962
,htx,BCH/USDT,,339.31,,1742242002.5563962
,htx,BONK/USDT,,1.12396e-05,,1742242002.5563962
,htx,WIF/USDT,,0.5065,,1742242002.5563962
,htx,XRP/USDT,,2.35698,,1742242002.5563962
,htx,AVAX/USDT,,18.8996,,1742242002.5563962
,htx,PEPE/USDT,,7.41812e-06,,1742242002.5563962
,htx,SOL/USDT,,129.5727,,1742242002.5563962
,cryptocom,BTC/USDT,1742242042651,84249.79,,1742242002.5563962
,cryptocom,ETH/USDT,1742242042619,1937.4,,1742242002.5563962
,cryptocom,SOL/USDT,1742242043101,129.59,,1742242002.5563962
,cryptocom,DOGE/USDT,1742242042084,0.174621,,1742242002.5563962
,cryptocom,BONK/USDT,1742242040590,1.1294e-05,,1742242002.5563962
,cryptocom,LINK/USDT,1742242044171,14.137,,1742242002.5563962
,cryptocom,WIF/USDT,1742242045223,0.5068,,1742242002.5563962
,cryptocom,PEPE/USDT,1742242045352,7.4459e-06,,1742242002.5563962
,cryptocom,XRP/USDT,1742242045420,2.35674,,1742242002.5563962
,cryptocom,BCH/USDT,1742242044798,339.54,,1742242002.5563962
,cryptocom,NEAR/USDT,1742242045891,2.668,,1742242002.5563962
,cryptocom,AVAX/USDT,1742242047143,18.901,,1742242002.5563962
,mexc,SOL/USDT,1742242049160,129.5,,1742242002.5563962
,mexc,PEPE/USDT,1742242049160,7.41e-06,,1742242002.5563962
,mexc,AVAX/USDT,1742242049160,18.9,,1742242002.5563962
,mexc,LINK/USDT,1742242049160,14.13,,1742242002.5563962
,mexc,DOGE/USDT,1742242049160,0.17462,,1742242002.5563962
,mexc,BCH/USDT,1742242049160,339.4,,1742242002.5563962
,mexc,XRP/USDT,1742242049160,2.3573,,1742242002.5563962
,mexc,ETH/USDT,1742242049161,1937.99,,1742242002.5563962
,mexc,NEAR/USDT,1742242049161,2.666,,1742242002.5563962
,mexc,BONK/USDT,1742242049161,1.123e-05,,1742242002.5563962
,mexc,WIF/USDT,1742242049161,0.506,,1742242002.5563962
,mexc,BTC/USDT,1742242049161,84281.74,,1742242002.5563962
,bitget,LINK/USDT,1742242050485,14.13,,1742242002.5563962
,bitget,DOGE/USDT,1742242050489,0.17465,,1742242002.5563962
,bitget,XRP/USDT,1742242050489,2.3572,,1742242002.5563962
,bitget,BTC/USDT,1742242050485,84265.9,,1742242002.5563962
,bitget,ETH/USDT,1742242050488,1937.52,,1742242002.5563962
,bitget,BCH/USDT,1742242050486,339.3,,1742242002.5563962
,bitget,SOL/USDT,1742242050487,129.5,,1742242002.5563962
,bitget,AVAX/USDT,1742242050497,18.89,,1742242002.5563962
,bitget,NEAR/USDT,1742242050507,2.667,,1742242002.5563962
,bitget,BONK/USDT,1742242050523,1.124e-05,,1742242002.5563962
,bitget,PEPE/USDT,1742242051144,7.41e-06,,1742242002.5563962
,bitget,WIF/USDT,1742242051167,0.507,,1742242002.5563962
